domain,type,page,source_span,context
www.propublica.org,domain,1,2889-2907,https://www.propublica.org/article/federal-government-ai-cautionary-tales
www.theregister.com,domain,2,1214-1233,https://www.theregister.com/2026/04/09/microsoft_dev_account_deactivations/
www.pcgamer.com,domain,2,1951-1966,https://www.pcgamer.com/hardware/microsoft-claims-wireguard-and-veracrypt-account-termination-wa
michelf.ca,domain,3,286-296,Markdown Extra syntax via https://michelf.ca/projects/php-markdown/extra/
