Value,Type,Action,Notes,Organization,ExpirationDate
www.propublica.org,Url,Block,KTLYST for NYS Office of Information Technology Services,NYS Office of Information Technology Services,
www.theregister.com,Url,Block,KTLYST for NYS Office of Information Technology Services,NYS Office of Information Technology Services,
www.pcgamer.com,Url,Block,KTLYST for NYS Office of Information Technology Services,NYS Office of Information Technology Services,
michelf.ca,Url,Block,KTLYST for NYS Office of Information Technology Services,NYS Office of Information Technology Services,
